Vendor ID, Product ID, Vendor Name, Product Name
0x046D, 0xC52B, Logitech, Unifying Receiver
0x0781, 0x5567, SanDisk, Cruzer Blade
0x05AC, 0x12A8, Apple, iPhone
0x18D1, 0x4EE2, Google, Nexus 5X
0x0BDA, 0x5411, Realtek, USB Audio
0x04E8, 0x6860, Samsung, Galaxy Devices
0x0930, 0x6544, Toshiba, External HDD
0x1058, 0x25A3, Western Digital, My Passport
0x1A2C, 0x0C23, China Resource Semico, Keyboard
0x0A5C, 0x21E8, Broadcom, Bluetooth Adapter
